ano,nome_municipio,sexo,uf,populacao
2021,Marechal Thaumaturgo,feminino,AC,9364
2021,Marechal Thaumaturgo,masculino,AC,10363
2021,Plácido de Castro,feminino,AC,9627
2021,Plácido de Castro,masculino,AC,10520
2021,Porto Walter,feminino,AC,5949
2021,Porto Walter,masculino,AC,6548
2021,Rio Branco,feminino,AC,214997
2021,Rio Branco,masculino,AC,204455
2021,Rodrigues Alves,feminino,AC,9609
2021,Rodrigues Alves,masculino,AC,10158
2021,Santa Rosa do Purus,feminino,AC,3394
2021,Santa Rosa do Purus,masculino,AC,3499
2021,Senador Guiomard,feminino,AC,11720
2021,Senador Guiomard,masculino,AC,11726
2021,Sena Madureira,feminino,AC,22747
2021,Sena Madureira,masculino,AC,24421
2021,Tarauacá,feminino,AC,21192
2021,Tarauacá,masculino,AC,22538
2021,Xapuri,feminino,AC,9610
2021,Xapuri,masculino,AC,10256
2021,Porto Acre,feminino,AC,9351
2021,Porto Acre,masculino,AC,9790
2021,Alvarães,feminino,AM,7755
2021,Alvarães,masculino,AM,8641
2021,Amaturá,feminino,AM,5746
2021,Amaturá,masculino,AM,6188
2021,Anamã,feminino,AM,6697
2021,Anamã,masculino,AM,7595
2021,Anori,feminino,AM,10721
2021,Anori,masculino,AM,11216
2021,Apuí,feminino,AM,10643
2021,Apuí,masculino,AM,12096
2021,Atalaia do Norte,feminino,AM,9957
2021,Atalaia do Norte,masculino,AM,10911
2021,Autazes,feminino,AM,19483
2021,Autazes,masculino,AM,21522
2021,Barcelos,feminino,AM,12474
2021,Barcelos,masculino,AM,15298
2021,Barreirinha,feminino,AM,15759
2021,Barreirinha,masculino,AM,17160
2021,Benjamin Constant,feminino,AM,21672
2021,Benjamin Constant,masculino,AM,23201
2021,Beruri,feminino,AM,9738
2021,Beruri,masculino,AM,10765
2021,Boa Vista do Ramos,feminino,AM,9233
2021,Boa Vista do Ramos,masculino,AM,10807
2021,Boca do Acre,feminino,AM,16958
2021,Boca do Acre,masculino,AM,18000
2021,Borba,feminino,AM,20077
2021,Borba,masculino,AM,22251
2021,Caapiranga,feminino,AM,6415
2021,Caapiranga,masculino,AM,7067
2021,Canutama,feminino,AM,7092
2021,Canutama,masculino,AM,8889
2021,Carauari,feminino,AM,13996
2021,Carauari,masculino,AM,14723
2021,Careiro,feminino,AM,18723
2021,Careiro,masculino,AM,20097
2021,Careiro da Várzea,feminino,AM,15032
2021,Careiro da Várzea,masculino,AM,16427
2021,Coari,feminino,AM,40833
2021,Coari,masculino,AM,45880
2021,Codajás,feminino,AM,14346
2021,Codajás,masculino,AM,15345
2021,Eirunepé,feminino,AM,17580
2021,Eirunepé,masculino,AM,18541
2021,Envira,feminino,AM,10107
2021,Envira,masculino,AM,10641
2021,Fonte Boa,feminino,AM,7784
2021,Fonte Boa,masculino,AM,8625
2021,Guajará,feminino,AM,8354
2021,Guajará,masculino,AM,8839
2021,Humaitá,feminino,AM,27129
2021,Humaitá,masculino,AM,30066
2021,Ipixuna,feminino,AM,15315
2021,Ipixuna,masculino,AM,15857
2021,Iranduba,feminino,AM,24233
2021,Iranduba,masculino,AM,25485
2021,Itacoatiara,feminino,AM,51182
2021,Itacoatiara,masculino,AM,52864
2021,Itamarati,feminino,AM,3672
