ano,nome_municipio,sexo,uf,populacao
2018,Duque Bacelar,feminino,MA,5627
2018,Duque Bacelar,masculino,MA,5669
2018,Esperantinópolis,feminino,MA,8935
2018,Esperantinópolis,masculino,MA,8444
2018,Estreito,feminino,MA,18661
2018,Estreito,masculino,MA,22694
2018,Feira Nova do Maranhão,feminino,MA,4064
2018,Feira Nova do Maranhão,masculino,MA,4417
2018,Fernando Falcão,feminino,MA,4902
2018,Fernando Falcão,masculino,MA,5356
2018,Formosa da Serra Negra,feminino,MA,9069
2018,Formosa da Serra Negra,masculino,MA,9848
2018,Fortaleza dos Nogueiras,feminino,MA,6086
2018,Fortaleza dos Nogueiras,masculino,MA,6529
2018,Fortuna,feminino,MA,7739
2018,Fortuna,masculino,MA,7797
2018,Godofredo Viana,feminino,MA,5593
2018,Godofredo Viana,masculino,MA,6079
2018,Gonçalves Dias,feminino,MA,9106
2018,Gonçalves Dias,masculino,MA,8818
2018,Governador Archer,feminino,MA,5448
2018,Governador Archer,masculino,MA,5345
2018,Governador Edison Lobão,feminino,MA,8838
2018,Governador Edison Lobão,masculino,MA,9230
2018,Governador Eugênio Barros,feminino,MA,8295
2018,Governador Eugênio Barros,masculino,MA,8477
2018,Governador Luiz Rocha,feminino,MA,3833
2018,Governador Luiz Rocha,masculino,MA,3939
2018,Governador Newton Bello,feminino,MA,5107
2018,Governador Newton Bello,masculino,MA,5104
2018,Governador Nunes Freire,feminino,MA,12876
2018,Governador Nunes Freire,masculino,MA,12740
2018,Graça Aranha,feminino,MA,3174
2018,Graça Aranha,masculino,MA,3089
2018,Grajaú,feminino,MA,33676
2018,Grajaú,masculino,MA,35200
2018,Guimarães,feminino,MA,6054
2018,Guimarães,masculino,MA,6009
2018,Humberto de Campos,feminino,MA,13623
2018,Humberto de Campos,masculino,MA,14875
2018,Icatu,feminino,MA,13084
2018,Icatu,masculino,MA,13869
2018,Igarapé do Meio,feminino,MA,7035
2018,Igarapé do Meio,masculino,MA,6991
2018,Igarapé Grande,feminino,MA,5783
2018,Igarapé Grande,masculino,MA,5469
2018,Imperatriz,feminino,MA,134345
2018,Imperatriz,masculino,MA,123671
2018,Itaipava do Grajaú,feminino,MA,7782
2018,Itaipava do Grajaú,masculino,MA,8115
2018,Itapecuru Mirim,feminino,MA,33993
2018,Itapecuru Mirim,masculino,MA,33680
2018,Itinga do Maranhão,feminino,MA,12939
2018,Itinga do Maranhão,masculino,MA,12993
2018,Jatobá,feminino,MA,4987
2018,Jatobá,masculino,MA,5006
2018,Jenipapo dos Vieiras,feminino,MA,8096
2018,Jenipapo dos Vieiras,masculino,MA,8336
2018,João Lisboa,feminino,MA,12156
2018,João Lisboa,masculino,MA,11540
2018,Joselândia,feminino,MA,8010
2018,Joselândia,masculino,MA,8126
2018,Junco do Maranhão,feminino,MA,1769
2018,Junco do Maranhão,masculino,MA,1737
2018,Lago da Pedra,feminino,MA,25117
2018,Lago da Pedra,masculino,MA,24794
2018,Lago do Junco,feminino,MA,5413
2018,Lago do Junco,masculino,MA,5395
2018,Lago Verde,feminino,MA,8152
2018,Lago Verde,masculino,MA,8047
2018,Lagoa do Mato,feminino,MA,5517
2018,Lagoa do Mato,masculino,MA,5718
2018,Lago dos Rodrigues,feminino,MA,4459
2018,Lago dos Rodrigues,masculino,MA,4430
2018,Lagoa Grande do Maranhão,feminino,MA,5483
2018,Lagoa Grande do Maranhão,masculino,MA,5837
2018,Lajeado Novo,feminino,MA,3594
2018,Lajeado Novo,masculino,MA,3902
2018,Lima Campos,feminino,MA,6121
2018,Lima Campos,masculino,MA,5746
2018,Loreto,feminino,MA,5877
2018,Loreto,masculino,MA,6221
2018,Luís Domingues,feminino,MA,3319
2018,Luís Domingues,masculino,MA,3598
2018,Magalhães de Almeida,feminino,MA,9686
2018,Magalhães de Almeida,masculino,MA,9934
2018,Maracaçumé,feminino,MA,10768
2018,Maracaçumé,masculino,MA,10433
2018,Marajá do Sena,feminino,MA,3541
2018,Marajá do Sena,masculino,MA,4269
2018,Maranhãozinho,feminino,MA,8014
2018,Maranhãozinho,masculino,MA,7999
2018,Mata Roma,feminino,MA,8344
2018,Mata Roma,masculino,MA,8335
2018,Matinha,feminino,MA,11719
2018,Matinha,masculino,MA,11537
2018,Matões,feminino,MA,16908
2018,Matões,masculino,MA,16707
2018,Matões do Norte,feminino,MA,7745
2018,Matões do Norte,masculino,MA,8706
2018,Milagres do Maranhão,feminino,MA,4150
2018,Milagres do Maranhão,masculino,MA,4295
2018,Mirador,feminino,MA,10213
2018,Mirador,masculino,MA,10787
2018,Miranda do Norte,feminino,MA,14593
2018,Miranda do Norte,masculino,MA,13408
2018,Mirinzal,feminino,MA,7339
2018,Mirinzal,masculino,MA,7574
2018,Monção,feminino,MA,16423
2018,Monção,masculino,MA,16778
2018,Montes Altos,feminino,MA,4511
2018,Montes Altos,masculino,MA,4698
2018,Morros,feminino,MA,9503
2018,Morros,masculino,MA,9789
2018,Nina Rodrigues,feminino,MA,7087
2018,Nina Rodrigues,masculino,MA,7177
2018,Nova Colinas,feminino,MA,2559
2018,Nova Colinas,masculino,MA,2781
2018,Nova Iorque,feminino,MA,2305
2018,Nova Iorque,masculino,MA,2378
2018,Nova Olinda do Maranhão,feminino,MA,10521
2018,Nova Olinda do Maranhão,masculino,MA,10253
2018,Olho d'Água das Cunhãs,feminino,MA,9951
2018,Olho d'Água das Cunhãs,masculino,MA,9497
2018,Olinda Nova do Maranhão,feminino,MA,7201
2018,Olinda Nova do Maranhão,masculino,MA,7362
2018,Paço do Lumiar,feminino,MA,62308
2018,Paço do Lumiar,masculino,MA,58313
2018,Palmeirândia,feminino,MA,9927
2018,Palmeirândia,masculino,MA,9734
2018,Paraibano,feminino,MA,10864
2018,Paraibano,masculino,MA,10426
2018,Parnarama,feminino,MA,17341
2018,Parnarama,masculino,MA,17464
2018,Passagem Franca,feminino,MA,9621
2018,Passagem Franca,masculino,MA,9277
2018,Pastos Bons,feminino,MA,9583
2018,Pastos Bons,masculino,MA,9775
2018,Paulino Neves,feminino,MA,7734
2018,Paulino Neves,masculino,MA,8167
2018,Paulo Ramos,feminino,MA,10400
2018,Paulo Ramos,masculino,MA,10615
2018,Pedreiras,feminino,MA,20715
2018,Pedreiras,masculino,MA,18552
2018,Pedro do Rosário,feminino,MA,12077
2018,Pedro do Rosário,masculino,MA,12853
2018,Penalva,feminino,MA,18870
2018,Penalva,masculino,MA,19333
2018,Peri Mirim,feminino,MA,7140
2018,Peri Mirim,masculino,MA,7151
2018,Peritoró,feminino,MA,11624
2018,Peritoró,masculino,MA,11401
2018,Pindaré-Mirim,feminino,MA,16832
2018,Pindaré-Mirim,masculino,MA,15983
2018,Pinheiro,feminino,MA,43101
2018,Pinheiro,masculino,MA,39889
2018,Pio XII,feminino,MA,10890
2018,Pio XII,masculino,MA,10704
2018,Pirapemas,feminino,MA,9308
2018,Pirapemas,masculino,MA,9219
2018,Poção de Pedras,feminino,MA,9041
2018,Poção de Pedras,masculino,MA,9116
2018,Porto Franco,feminino,MA,11770
2018,Porto Franco,masculino,MA,11905
2018,Porto Rico do Maranhão,feminino,MA,2858
2018,Porto Rico do Maranhão,masculino,MA,3137
2018,Presidente Dutra,feminino,MA,24479
2018,Presidente Dutra,masculino,MA,23088
2018,Presidente Juscelino,feminino,MA,6069
2018,Presidente Juscelino,masculino,MA,6560
2018,Presidente Médici,feminino,MA,3378
2018,Presidente Médici,masculino,MA,3581
2018,Presidente Sarney,feminino,MA,9149
2018,Presidente Sarney,masculino,MA,9615
2018,Presidente Vargas,feminino,MA,5460
2018,Presidente Vargas,masculino,MA,5664
2018,Primeira Cruz,feminino,MA,7104
2018,Primeira Cruz,masculino,MA,8093
2018,Raposa,feminino,MA,15523
2018,Raposa,masculino,MA,14814
2018,Riachão,feminino,MA,9912
2018,Riachão,masculino,MA,10331
2018,Ribamar Fiquene,feminino,MA,3792
2018,Ribamar Fiquene,masculino,MA,3963
2018,Rosário,feminino,MA,21464
